"","outbreak_id","species","affected"
"442","2022/17_1","wild_birds","1"
"443","2022/16_1","wild_birds","1"
"444","2022/12_2","poultry","4611"
"445","2022/5_3","cows","0"
"446","2022/11_2","poultry","16604"
"447","2022/10_2","poultry","37100"
"448","2022/15_1","wild_birds","3"
"449","2022/3_4","sheep","1"
"450","2022/9_2","poultry","600"
"451","2022/8_2","poultry","16000"
"452","2022/7_2","poultry","32500"
"453","2022/14_1","wild_birds","1"
"454","2022/13_1","wild_birds","3"
"455","2022/12_1","wild_birds","1"
"456","2022/6_2","poultry","8000"
"457","2022/5_2","poultry","28800"
"458","2022/11_1","wild_birds","4"
"459","2022/4_3","poultry","39500"
"460","2022/3_3","poultry","60000"
"461","2022/10_1","wild_birds","1"
"462","2022/9_1","wild_birds","59"
"463","2022/2_4","poultry","25000"
"464","2022/8_1","wild_birds","1"
"465","2022/6_1","wild_birds","1"
"466","2022/7_1","wild_birds","1"
"467","2022/5_1","wild_birds","1"
"468","2022/4_2","wild_birds","5"
"469","2022/1_4","poultry","12601"
"470","2021/356_1","sheep","2"
"471","2022/2_3","sheep","1"
"472","2022/3_2","wild_birds","1"
"473","2021/355_1","sheep","12"
"474","2021/354_1","sheep","2"
"475","2021/353_1","sheep","10"
"476","2021/352_1","sheep","3"
"477","2021/351_1","sheep","13"
"478","2021/350_1","sheep","2"
"479","2022/4_1","goats","0"
"480","2022/3_1","cows","0"
"481","2022/2_2","goats","0"
"482","2022/1_3","sheep","2"
"483","2021/349_1","sheep","1"
"484","2021/348_1","sheep","1"
"485","2021/347_1","sheep","4"
"486","2021/346_1","sheep","20"
"487","2021/345_1","sheep","3"
"488","2021/344_1","sheep","5"
"489","2021/343_1","sheep","8"
"490","2021/342_1","sheep","1"
"491","2021/341_1","sheep","2"
"492","2021/340_1","sheep","1"
"493","2021/339_1","sheep","1"
"494","2021/338_1","sheep","4"
"495","2021/337_1","sheep","14"
"496","2021/336_1","sheep","5"
"497","2021/335_1","sheep","5"
"498","2021/334_1","sheep","2"
"499","2021/333_1","sheep","23"
"500","2021/332_1","sheep","2"
"501","2021/331_1","sheep","1"
"502","2021/330_1","sheep","3"
"503","2021/329_1","sheep","1"
"504","2022/2_1","wild_birds","4"
"505","2021/328_1","sheep","2"
"506","2021/327_1","sheep","9"
"507","2021/326_1","sheep","2"
"508","2021/325_1","sheep","3"
"509","2021/324_1","sheep","5"
"510","2021/323_1","sheep","1"
"511","2021/322_1","sheep","16"
"512","2021/321_1","sheep","2"
"513","2021/320_1","sheep","1"
"514","2021/319_1","sheep","2"
"515","2021/318_1","sheep","6"
"516","2021/317_1","sheep","2"
"517","2021/316_1","sheep","1"
"518","2021/315_1","sheep","14"
"519","2021/314_1","sheep","1"
"520","2021/313_1","sheep","3"
"521","2021/312_1","sheep","8"
"522","2021/311_1","sheep","2"
"523","2021/310_1","sheep","1"
"524","2021/309_1","sheep","1"
"525","2021/308_1","sheep","1"
"526","2021/307_1","sheep","1"
"527","2022/1_2","sheep","1"
"528","2021/275_1","sheep","1"
"529","2021/273_1","sheep","19"
"530","2021/306_1","sheep","5"
"531","2021/305_1","sheep","1"
"532","2021/304_1","goats","5"
"533","2021/303_1","sheep","13"
"534","2021/302_1","sheep","4"
"535","2021/301_1","sheep","3"
"536","2021/300_1","sheep","5"
"537","2021/299_1","sheep","11"
"538","2021/298_1","sheep","7"
"539","2021/297_1","sheep","4"
"540","2021/296_1","sheep","13"
"541","2021/295_1","sheep","2"
"542","2021/294_1","sheep","2"
"543","2021/293_1","sheep","2"
"544","2021/292_1","sheep","2"
"545","2021/291_1","sheep","2"
"546","2021/290_1","sheep","2"
"547","2021/289_1","sheep","3"
"548","2021/288_1","sheep","16"
"549","2021/287_1","sheep","5"
"550","2021/286_1","sheep","9"
"551","2021/285_1","sheep","3"
"552","2021/284_1","sheep","9"
"553","2021/283_1","sheep","4"
"554","2021/282_1","sheep","3"
"555","2021/281_1","sheep","1"
"556","2021/280_1","sheep","2"
"557","2021/279_1","sheep","5"
"558","2021/278_1","sheep","6"
"559","2021/277_1","sheep","1"
"560","2021/276_1","sheep","20"
"561","2021/274_1","sheep","1"
"562","2021/272_1","sheep","7"
"563","2021/271_1","sheep","5"
"564","2021/270_1","sheep","1"
"565","2021/269_1","sheep","1"
"566","2021/268_1","sheep","17"
"567","2021/267_1","sheep","4"
"568","2021/266_1","sheep","1"
"569","2021/265_1","sheep","5"
"570","2021/264_1","sheep","1"
"571","2021/263_1","sheep","25"
"572","2021/262_1","sheep","2"
"573","2021/261_1","sheep","2"
"574","2021/260_1","sheep","3"
"575","2021/259_1","sheep","1"
"576","2021/258_1","sheep","5"
"577","2021/257_1","sheep","1"
"578","2021/256_1","sheep","1"
"579","2021/255_1","sheep","1"
"580","2021/254_1","sheep","2"
"581","2021/253_1","sheep","13"
"582","2021/252_1","sheep","3"
"583","2021/251_1","sheep","3"
"584","2021/250_1","sheep","3"
"585","2021/249_1","sheep","2"
"586","2021/248_1","sheep","17"
"587","2021/247_1","sheep","1"
"588","2021/246_1","sheep","5"
"589","2021/245_1","sheep","2"
"590","2021/244_1","sheep","8"
"591","2021/243_1","sheep","3"
"592","2021/242_1","sheep","5"
"593","2021/241_1","sheep","2"
"594","2021/240_1","sheep","29"
"595","2021/239_1","sheep","2"
"596","2021/238_1","sheep","1"
"597","2021/237_1","sheep","18"
"598","2021/236_1","sheep","4"
"599","2021/235_1","sheep","3"
"600","2021/234_1","sheep","23"
"601","2021/233_1","sheep","1"
"602","2021/232_1","sheep","9"
"603","2021/231_1","sheep","13"
"604","2021/230_1","sheep","2"
"605","2021/229_1","sheep","1"
"606","2021/228_1","sheep","2"
"607","2021/227_1","sheep","13"
"608","2021/226_1","sheep","1"
"609","2021/225_1","sheep","1"
"610","2021/224_1","sheep","7"
"611","2021/223_1","sheep","4"
"612","2021/222_1","sheep","6"
"613","2021/221_1","sheep","3"
"614","2021/220_1","sheep","2"
"615","2021/219_1","sheep","3"
"616","2021/218_1","sheep","5"
"617","2021/217_1","sheep","1"
"618","2021/216_1","sheep","31"
"619","2021/215_1","sheep","5"
"620","2021/214_1","sheep","4"
"621","2021/213_1","sheep","4"
"622","2021/212_1","sheep","1"
"623","2021/211_1","sheep","1"
"624","2021/210_1","sheep","12"
"625","2021/209_1","sheep","5"
"626","2021/208_1","sheep","3"
"627","2021/207_1","sheep","2"
"628","2022/1_1","wild_birds","5"
"629","2021/206_1","sheep","2"
"630","2021/205_1","sheep","2"
"631","2021/204_1","sheep","2"
"632","2021/203_1","sheep","1"
"633","2021/202_1","sheep","3"
"634","2021/201_1","sheep","2"
"635","2021/200_1","sheep","1"
"636","2021/199_1","sheep","1"
"637","2021/198_1","sheep","1"
"638","2021/197_1","sheep","1"
"639","2021/196_1","sheep","1"
"640","2021/195_1","sheep","1"
"641","2021/194_1","sheep","10"
"642","2021/193_1","sheep","10"
"643","2021/192_1","sheep","8"
"644","2021/191_1","sheep","7"
"645","2021/190_1","sheep","3"
"646","2021/189_1","sheep","2"
"647","2021/188_1","sheep","7"
"648","2021/187_1","sheep","1"
"649","2021/186_1","sheep","11"
"650","2021/18_4","sheep","1"
"651","2021/185_1","goats","0"
"652","2021/184_1","sheep","0"
"653","2021/183_1","sheep","1"
"654","2021/182_1","sheep","2"
"655","2021/181_1","sheep","3"
"656","2021/180_1","sheep","14"
"657","2021/179_1","sheep","13"
"658","2021/178_1","sheep","9"
"659","2021/177_1","sheep","2"
"660","2021/176_1","sheep","8"
"661","2021/175_1","sheep","29"
"662","2021/174_1","sheep","8"
"663","2021/173_1","sheep","5"
"664","2021/172_1","sheep","6"
"665","2021/171_1","goats","0"
"666","2021/170_1","goats","0"
"667","2021/169_1","sheep","1"
"668","2021/168_1","sheep","4"
"669","2021/167_1","sheep","1"
"670","2021/166_1","sheep","3"
"671","2021/165_1","sheep","10"
"672","2021/164_1","sheep","1"
"673","2021/163_1","sheep","4"
"674","2021/162_1","sheep","3"
"675","2021/161_1","sheep","4"
"676","2021/160_1","sheep","6"
"677","2021/159_1","sheep","3"
"678","2021/158_1","sheep","4"
"679","2021/157_1","sheep","6"
"680","2021/156_1","sheep","4"
"681","2021/155_1","sheep","3"
"682","2021/154_1","sheep","1"
"683","2021/153_1","sheep","9"
"684","2021/152_1","sheep","1"
"685","2021/151_1","sheep","1"
"686","2021/150_1","sheep","1"
"687","2021/149_1","sheep","2"
"688","2021/148_1","sheep","14"
"689","2021/147_1","sheep","6"
"690","2021/146_1","sheep","1"
"691","2021/145_1","sheep","5"
"692","2021/144_1","sheep","2"
"693","2021/143_1","sheep","1"
"694","2021/142_1","sheep","1"
"695","2021/141_1","goats","0"
"696","2021/140_1","goats","0"
"697","2021/139_1","goats","0"
"698","2021/138_1","cows","0"
"699","2021/137_1","cows","0"
"700","2021/136_1","goats","0"
"701","2021/135_1","goats","0"
"702","2021/134_1","sheep","55"
"703","2021/133_1","sheep","2"
"704","2021/132_1","sheep","5"
"705","2021/131_1","sheep","1"
"706","2021/130_1","sheep","3"
"707","2021/129_1","sheep","1"
"708","2021/128_1","sheep","2"
"709","2021/127_1","sheep","3"
"710","2021/126_1","sheep","1"
"711","2021/125_1","sheep","1"
"712","2021/124_1","sheep","1"
"713","2021/123_1","sheep","3"
"714","2021/122_1","sheep","1"
"715","2021/121_1","sheep","3"
"716","2021/120_1","sheep","1"
"717","2021/119_1","sheep","3"
"718","2021/118_1","sheep","2"
"719","2021/117_1","sheep","17"
"720","2021/116_1","sheep","7"
"721","2021/115_1","cows","1"
"722","2021/114_1","cows","0"
"723","2021/113_1","cows","0"
"724","2021/112_1","sheep","2"
"725","2021/111_1","sheep","5"
"726","2021/110_1","sheep","3"
"727","2021/109_1","sheep","1"
"728","2021/108_1","sheep","2"
"729","2021/107_1","sheep","2"
"730","2021/106_1","sheep","2"
"731","2021/105_1","sheep","2"
"732","2021/104_1","sheep","6"
"733","2021/103_1","sheep","4"
"734","2021/102_1","sheep","3"
"735","2021/101_1","sheep","1"
"736","2021/100_1","sheep","1"
"737","2021/99_1","sheep","5"
"738","2021/98_1","goats","0"
"739","2021/97_1","cows","0"
"740","2021/96_1","cows","0"
"741","2021/95_1","goats","0"
"742","2021/94_1","cows","0"
"743","2021/93_1","cows","0"
"744","2021/92_1","sheep","13"
"745","2021/91_1","sheep","5"
"746","2021/90_1","sheep","14"
"747","2021/89_1","sheep","320"
"748","2021/88_1","sheep","2"
"749","2021/87_1","sheep","58"
"750","2021/86_1","sheep","7"
"751","2021/24_2","cows","5"
"752","2021/85_1","sheep","5"
"753","2021/84_1","goats","0"
"754","2021/83_1","goats","0"
"755","2021/82_1","sheep","1"
"756","2021/81_1","sheep","1"
"757","2021/80_1","goats","0"
"758","2021/79_1","sheep","0"
"759","2021/78_1","goats","0"
"760","2021/77_1","goats","0"
"761","2021/76_1","goats","0"
"762","2021/75_1","goats","0"
"763","2021/74_1","cows","0"
"764","2021/73_1","cows","0"
"765","2021/72_1","sheep","41"
"766","2021/71_1","sheep","9"
"767","2021/70_1","sheep","2"
"768","2021/69_1","sheep","35"
"769","2021/68_1","sheep","30"
"770","2021/67_1","cows","0"
"771","2021/23_2","cows","1"
"772","2021/22_2","cows","1"
"773","2021/18_3","horses","1"
"774","2021/66_1","sheep","1"
"775","2021/65_1","sheep","1"
"776","2021/64_1","cows","6"
"777","2021/63_1","cows","1"
"778","2021/62_1","cows","6"
"779","2021/61_1","cows","3"
"780","2021/60_1","cows","4"
"781","2021/59_1","cows","1"
"782","2021/58_1","sheep","4"
"783","2021/57_1","sheep","15"
"784","2021/56_1","sheep","5"
"785","2021/55_1","goats","0"
"786","2021/17_4","sheep","1"
"787","2021/21_2","horses","1"
"788","2021/20_2","cows","1"
"789","2021/54_1","cows","0"
"790","2021/53_1","sheep","5"
"791","2021/52_1","sheep","2"
"792","2021/17_3","wild_animals","0"
"793","2021/16_4","wild_animals","0"
"794","2021/51_1","sheep","20"
"795","2021/50_1","cows","0"
"796","2021/49_1","cows","0"
"797","2021/48_1","cows","0"
"798","2021/15_4","horses","1"
"799","2021/47_1","sheep","8"
"800","2021/46_1","cows","0"
"801","2021/45_1","cows","0"
"802","2021/44_1","sheep","1"
"803","2021/19_2","cows","1"
"804","2021/14_3","wild_animals","1"
"805","2021/13_4","horses","0"
"806","2021/12_4","horses","0"
"807","2021/43_1","sheep","5"
"808","2021/42_1","cows","0"
