Código;Tipo de foco;Pais;CCAA;Provincia;Comarca Ganadera (en focos nacionales);Región (en focos extranjeros);Municipio;UVL;Enfermedad;Nº de Especies Afectadas;Serotipo;Especie;Sensibles;Afectados;Fecha de confirmación
2023/39  ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;VALDEPEÑAS;;Castellar de Santiago;Ciudad Real;Enfermedad hemorrágica epizoótica;1;08;Bovinos;194;3;02/08/2023
2023/38  ;Primario;España;CASTILLA LA MANCHA;TOLEDO;OROPESA;;Valdeverdeja;Toledo;Enfermedad hemorrágica epizoótica;1;08;Bovinos;83;2;02/08/2023
2023/37  ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;VILLANUEVA DE LOS INFANTES;;Villanueva de la Fuente;Ciudad Real;Enfermedad hemorrágica epizoótica;1;08;Bovinos;57;3;02/08/2023
2023/36  ;Primario;España;ANDALUCÍA;JAÉN;LINARES (SIERRA MORENA/CAMPIÑA JAEN);;Vilches;Jaén;Enfermedad hemorrágica epizoótica;1;08;Bovinos;63;60;02/08/2023
2023/35  ;Primario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Santa Bárbara de Casa;Huelva;Enfermedad hemorrágica epizoótica;1;08;Bovinos;156;5;02/08/2023
2023/2   ;Primario;España;ANDALUCÍA;CÁDIZ;SIERRA DE CÁDIZ;;Zahara;Cádiz;Enfermedad de Aujeszky;1;;Porcinos;43;0;02/08/2023
2023/34  ;Primario;España;ANDALUCÍA;JAÉN;LINARES (SIERRA MORENA/CAMPIÑA JAEN);;Aldeaquemada;Jaén;Enfermedad hemorrágica epizoótica;1;08;Cervidos;6590;96;01/08/2023
2023/2   ;Primario;España;ANDALUCÍA;SEVILLA;CAZALLA DE LA SIERRA (SIERRA NORTE);;Pedroso, El;Sevilla;Fiebre del Nilo Occidental (West Nile);1;;Equidos;10;1;01/08/2023
2023/33  ;Primario;España;ANDALUCÍA;MÁLAGA;RONDA (RONDA);;Ronda;Málaga;Enfermedad hemorrágica epizoótica;1;08;Bovinos;147;12;27/07/2023
2023/41  ;Primario;España;CATALUÑA;TARRAGONA;BAIX EBRE (TORTOSA);;Perelló, El;Tarragona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;24/07/2023
2023/40  ;Primario;España;CATALUÑA;TARRAGONA;TARRAGONES (TARRAGONA);;Tarragona;Tarragona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;24/07/2023
2023/39  ;Primario;España;CATALUÑA;TARRAGONA;BAIX CAMP (REUS);;Cambrils;Tarragona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;24/07/2023
2023/8   ;Primario;España;ASTURIAS;ASTURIAS;CANGAS DE NARCEA;;Cangas del Narcea;Oviedo;Scrapie, Tembladera o Prúrigo Lumbar;1;;Caprinos;26;1;14/07/2023
2023/32  ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;CALZADA DE CALATRAVA;;Calzada de Calatrava;Ciudad Real;Enfermedad hemorrágica epizoótica;1;08;Bovinos;241;3;24/07/2023
2023/31  ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;MALAGÓN;;Fernán Caballero;Ciudad Real;Enfermedad hemorrágica epizoótica;1;08;Bovinos;230;3;24/07/2023
2023/30  ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;ALMODOVAR DEL CAMPO;;Abenójar;Ciudad Real;Enfermedad hemorrágica epizoótica;1;08;Bovinos;143;1;25/07/2023
2023/29  ;Primario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );;Hinojosa del Duque;Córdoba;Enfermedad hemorrágica epizoótica;1;08;Bovinos;175;58;24/07/2023
2023/28  ;Primario;España;ANDALUCÍA;SEVILLA;MARCHENA (SERRANÍA SUDOESTE);;Morón de la Frontera;Sevilla;Enfermedad hemorrágica epizoótica;1;08;Bovinos;81;6;24/07/2023
2023/27  ;Primario;España;EXTREMADURA;BADAJOZ;DON BENITO;;Manchita;Badajoz;Enfermedad hemorrágica epizoótica;1;08;Bovinos;87;1;24/07/2023
2023/26  ;Primario;España;CASTILLA LA MANCHA;TOLEDO;GALVEZ;;San Martín de Montalbán;Toledo;Enfermedad hemorrágica epizoótica;1;08;Cervidos;1;1;24/07/2023
2023/25  ;Primario;España;CASTILLA LA MANCHA;ALBACETE;ALCARAZ;;Villapalacios;Albacete;Enfermedad hemorrágica epizoótica;1;08;Cervidos;1;1;24/07/2023
2023/24  ;Primario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );;Torrecampo;Córdoba;Enfermedad hemorrágica epizoótica;1;08;Bovinos;251;1;21/07/2023
2023/23  ;Primario;España;ANDALUCÍA;HUELVA;LA PALMA DEL CONDADO (CONDADO DE HUELVA);;Escacena del Campo;Huelva;Enfermedad hemorrágica epizoótica;1;08;Bovinos;100;4;21/07/2023
2023/22  ;Primario;España;ANDALUCÍA;JAÉN;ANDUJAR (SIERRA MORENA/CAMPIÑA JAEN);;Andújar;Jaén;Enfermedad hemorrágica epizoótica;1;08;Cervidos;40;40;19/07/2023
2023/21  ;Primario;España;EXTREMADURA;CÁCERES;NAVALMORAL DE LA MATA;;Villar del Pedroso;Badajoz;Enfermedad hemorrágica epizoótica;1;08;Bovinos;75;8;20/07/2023
2023/20  ;Primario;España;EXTREMADURA;CÁCERES;LOGROSAN (ZORITA);;Madrigalejo;Badajoz;Enfermedad hemorrágica epizoótica;1;08;Bovinos;2980;2;20/07/2023
2023/19  ;Primario;España;ANDALUCÍA;SEVILLA;OSUNA (CAMPIÑA/SIERRA SUR);;Pruna;Sevilla;Enfermedad hemorrágica epizoótica;1;08;Bovinos;138;3;18/07/2023
2023/1   ;Primario;España;VALENCIA;VALENCIA;CAMP DE MORVEDRE;;Puig de Santa Maria, el;Valencia;Fiebre del Nilo Occidental (West Nile);1;;Equidos;1;1;18/07/2023
2023/18  ;Primario;España;EXTREMADURA;CÁCERES;TRUJILLO;;Almoharín;Badajoz;Enfermedad hemorrágica epizoótica;1;08;Bovinos;225;2;18/07/2023
2023/17  ;Primario;España;EXTREMADURA;BADAJOZ;BADAJOZ;;Cheles;Badajoz;Enfermedad hemorrágica epizoótica;1;08;Bovinos;69;1;18/07/2023
2023/16  ;Primario;España;ANDALUCÍA;HUELVA;CORTEGANA (SIERRA OCCIDENTAL);;Cumbres de San Bartolomé;Huelva;Enfermedad hemorrágica epizoótica;1;08;Bovinos;257;7;17/07/2023
2023/15  ;Primario;España;ANDALUCÍA;HUELVA;VALVERDE DEL CAMINO (ANDEVALO ORIENTAL);;Beas;Huelva;Enfermedad hemorrágica epizoótica;1;08;Bovinos;121;7;17/07/2023
2023/14  ;Primario;España;ANDALUCÍA;CÁDIZ;SIERRA DE CÁDIZ;;Olvera;Cádiz;Enfermedad hemorrágica epizoótica;1;08;Bovinos;15;3;11/07/2023
2023/13  ;Primario;España;ANDALUCÍA;CÓRDOBA;PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO);;Fuente Obejuna;Córdoba;Enfermedad hemorrágica epizoótica;1;08;Bovinos;66;12;10/07/2023
2023/12  ;Primario;España;EXTREMADURA;CÁCERES;CACERES;;Montánchez;Badajoz;Enfermedad hemorrágica epizoótica;1;08;Bovinos;47;1;14/07/2023
2023/11  ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;ALMADEN;;Alamillo;Ciudad Real;Enfermedad hemorrágica epizoótica;1;08;Bovinos;57;5;14/07/2023
2023/10  ;Primario;España;EXTREMADURA;BADAJOZ;HERRERA DEL DUQUE;;Fuenlabrada de los Montes;Badajoz;Enfermedad hemorrágica epizoótica;1;08;Bovinos;56;8;14/07/2023
2023/9   ;Primario;España;EXTREMADURA;BADAJOZ;CASTUERA;;Monterrubio de la Serena;Badajoz;Enfermedad hemorrágica epizoótica;1;08;Bovinos;56;1;14/07/2023
2023/8   ;Primario;España;EXTREMADURA;BADAJOZ;JEREZ DE LOS CABALLEROS;;Higuera de Vargas;Badajoz;Enfermedad hemorrágica epizoótica;1;08;Bovinos;44;1;13/07/2023
2023/6   ;Primario;España;EXTREMADURA;BADAJOZ;ZAFRA;;Monesterio;Badajoz;Enfermedad hemorrágica epizoótica;1;08;Bovinos;35;2;10/07/2023
2023/7   ;Primario;España;CASTILLA Y LEÓN;PALENCIA;SALDAÑA;;Quintanilla de Onsoña;Palencia;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;3343;1;27/06/2023
2023/38  ;Primario;España;CATALUÑA;TARRAGONA;PRIORAT (FALSET);;Marçà;Tarragona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;11/07/2023
2023/37  ;Primario;España;CATALUÑA;TARRAGONA;BAIX PENEDES (VENDRELL);;Vendrell, El;Tarragona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5;Aves silvestres;1;1;11/07/2023
2023/36  ;Primario;España;CATALUÑA;TARRAGONA;BAIX PENEDES (VENDRELL);;Cunit;Tarragona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;11/07/2023
2023/35  ;Primario;España;CATALUÑA;BARCELONA;MARESME (VILASSAR DE MAR);;Arenys de Mar;Barcelona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;11/07/2023
2023/2   ;Primario;España;ASTURIAS;ASTURIAS;CANGAS DE ONIS;;Cangas de Onís;Oviedo;Carbunco bacteridiano;1;;Bovinos;65;6;07/07/2023
2023/5   ;Primario;España;ANDALUCÍA;CÓRDOBA;MONTORO (ALTO GUADALQUIVIR);;Adamuz;Córdoba;Enfermedad hemorrágica epizoótica;1;Pendiente;Bovinos;48;8;06/07/2023
2023/4   ;Primario;España;ANDALUCÍA;CÓRDOBA;VILLANUEVA DE CÓRDOBA (PEDROCHES III);;Cardeña;Córdoba;Enfermedad hemorrágica epizoótica;1;Pendiente;Bovinos;79;9;06/07/2023
2023/3   ;Primario;España;ANDALUCÍA;SEVILLA;CAZALLA DE LA SIERRA (SIERRA NORTE);;Pedroso, El;Sevilla;Enfermedad hemorrágica epizoótica;1;Pendiente;Bovinos;22;1;04/07/2023
2023/14  ;Secundario;España;ASTURIAS;ASTURIAS;TINEO;;Tineo;Oviedo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;129;1;03/07/2023
2023/2   ;Primario;España;ANDALUCÍA;HUELVA;ARACENA (SIERRA ORIENTAL);;Corteconcepción;Huelva;Enfermedad hemorrágica epizoótica;1;Pendiente;Bovinos;110;4;30/06/2023
2023/34  ;Primario;España;VALENCIA;VALENCIA;LA SAFOR;;Oliva;Valencia;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;0;30/06/2023
2023/33  ;Primario;España;CATALUÑA;TARRAGONA;BAIX EBRE (TORTOSA);;Deltebre;Tarragona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;28;28;30/06/2023
2023/32  ;Primario;España;CATALUÑA;TARRAGONA;BAIX PENEDES (VENDRELL);;Calafell;Tarragona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;30/06/2023
2023/31  ;Primario;España;CATALUÑA;BARCELONA;BAIX LLOBREGAT (SANT BOI);;Prat de Llobregat, El;Barcelona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;2;2;30/06/2023
2023/6   ;Primario;España;PAÍS VASCO;BIZKAIA;BIZKAIA;;Orozko;Bilbao;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;32;1;08/02/2023
2023/1   ;Primario;España;ANDALUCÍA;CÁDIZ;CAMPIÑA;;Arcos de la Frontera;Cádiz;Enfermedad de Aujeszky;1;;Porcinos;13;0;30/06/2023
2023/1   ;Primario;España;ANDALUCÍA;SEVILLA;CAZALLA DE LA SIERRA (SIERRA NORTE);;Pedroso, El;Sevilla;Enfermedad hemorrágica epizoótica;1;No determinado;Cervidos;5;3;23/06/2023
2023/29  ;Primario;España;VALENCIA;VALENCIA;CAMP DE MORVEDRE;;Sagunto/Sagunt;Valencia;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;16/06/2023
2023/1   ;Primario;España;ASTURIAS;ASTURIAS;CANGAS DE ONIS;;Cangas de Onís;Oviedo;Carbunco bacteridiano;1;;Bovinos;61;8;21/06/2023
2023/30  ;Primario;España;CATALUÑA;GIRONA;ALT EMPORDA (FIGUERES);;Castelló d'Empúries;Girona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;22/06/2023
2023/13  ;Primario;España;CATALUÑA;LLEIDA;ALT URGELL (SEU D'URGELL);;Valls d'Aguilar, Les;Lleida;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;104;1;15/06/2023
2023/12  ;Primario;España;CATALUÑA;LLEIDA;SOLSONES (SOLSONA);;Navès;Barcelona;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;55;1;15/06/2023
2023/28  ;Primario;España;PAÍS VASCO;BIZKAIA;BIZKAIA;;Mendexa;Bilbao;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;09/06/2023
2023/27  ;Primario;España;VALENCIA;VALENCIA;RIBERA BAIXA;;Sollana;Valencia;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;542;542;07/06/2023
2023/11  ;Primario;España;ASTURIAS;ASTURIAS;TINEO;;Tineo;Oviedo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;25;1;29/05/2023
2023/5   ;Primario;España;CASTILLA Y LEÓN;SALAMANCA;CIUDAD RODRIGO;;Zamarra;Ciudad Rodrigo;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;567;1;11/05/2023
2023/26  ;Primario;España;GALICIA;A CORUÑA;A CORUÑA;;Coruña, A;Coruña;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;18/05/2023
2023/7   ;Primario;España;CASTILLA LA MANCHA;CUENCA;SAN CLEMENTE;;Casas de Fernando Alonso;Cuenca;Viruela ovina y viruela caprina;2;;Caprinos, Ovinos;27 / 334;0 / 21;16/05/2023
2023/20  ;Primario;España;CASTILLA LA MANCHA;TOLEDO;TORRIJOS;;Nombela;Toledo;Lengua azul;1;04;Bovinos;9;0;04/05/2023
2023/4   ;Primario;España;ANDALUCÍA;SEVILLA;OSUNA (CAMPIÑA/SIERRA SUR);;Badolatosa;Sevilla;Scrapie, Tembladera o Prúrigo Lumbar;1;;Caprinos;643;1;26/04/2023
2023/3   ;Primario;España;LA RIOJA;LA RIOJA;HARO;;Cihuri;Logroño;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;547;1;27/04/2023
2023/10  ;Primario;España;CATALUÑA;LLEIDA;ALT URGELL (SEU D'URGELL);;Valls de Valira, Les;Lleida;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;18;1;27/04/2023
2023/9   ;Primario;España;GALICIA;PONTEVEDRA;DEZA;;Dozón;Pontevedra;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;17;1;20/04/2023
2023/1   ;Primario;España;NAVARRA;NAVARRA;PAMPLONA;;Ultzama;Pamplona;Scrapie, Tembladera o Prúrigo Lumbar;1;;Ovinos;132;1;12/04/2023
2023/25  ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;MALAGÓN;;Pozuelo de Calatrava;Ciudad Real;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;4;4;31/03/2023
2023/24  ;Primario;España;ARAGÓN;ZARAGOZA;ZARAGOZA;;Zaragoza;Zaragoza;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;3;3;03/04/2023
2023/6   ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;TOMELLOSO;;Alcázar de San Juan;Ciudad Real;Viruela ovina y viruela caprina;2;;Caprinos, Ovinos;260 / 3142;0 / 1;05/04/2023
2023/23  ;Primario;España;CATALUÑA;LLEIDA;SEGRIA (LLEIDA);;Lleida;Lleida;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;26;26;04/04/2023
2023/8   ;Secundario;España;ASTURIAS;ASTURIAS;TINEO;;Tineo;Oviedo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;15;0;30/03/2023
2023/7   ;Secundario;España;ASTURIAS;ASTURIAS;TINEO;;Tineo;Oviedo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;24;1;30/03/2023
2023/6   ;Primario;España;ASTURIAS;ASTURIAS;LLANES;;Peñamellera Baja;Oviedo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;23;1;30/03/2023
2023/22  ;Primario;España;CASTILLA Y LEÓN;VALLADOLID;MEDINA DEL CAMPO;;Castronuño;Valladolid;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;30/03/2023
2023/21  ;Primario;España;CASTILLA Y LEÓN;LEÓN;CARRIZO;;Santa Marina del Rey;León;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;30/03/2023
2023/5   ;Primario;España;GALICIA;LUGO;TERRA CHA VILALBA;;Vilalba;Lugo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;183;3;09/02/2023
2023/5   ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;TOMELLOSO;;Alcázar de San Juan;Ciudad Real;Viruela ovina y viruela caprina;1;;Ovinos;1410;5;29/03/2023
2023/4   ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;TOMELLOSO;;Alcázar de San Juan;Ciudad Real;Viruela ovina y viruela caprina;1;;Ovinos;1216;4;21/03/2023
2023/20  ;Primario;España;CATALUÑA;LLEIDA;PLA D'URGELL (MOLLERUSSA);;Linyola;Lleida;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;16/03/2023
2023/19  ;Primario;España;CATALUÑA;LLEIDA;PLA D'URGELL (MOLLERUSSA);;Vila-sana;Lleida;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;16/03/2023
2023/18  ;Primario;España;ARAGÓN;ZARAGOZA;ZARAGOZA;;Zaragoza;Zaragoza;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;5;5;01/03/2023
2023/17  ;Primario;España;PAÍS VASCO;ÁLAVA;ARABA-ALAVA;;Vitoria-Gasteiz;Vitoria;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;10/03/2023
2023/4   ;Primario;España;ASTURIAS;ASTURIAS;GRADO;;Proaza;Oviedo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;68;1;10/03/2023
2023/3   ;Primario;España;ASTURIAS;ASTURIAS;TINEO;;Tineo;Oviedo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;96;0;10/03/2023
2023/16  ;Primario;España;CATALUÑA;LLEIDA;NOGUERA (BALAGUER);;Penelles;Lleida;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;4;4;07/03/2023
2023/15  ;Primario;España;PAÍS VASCO;BIZKAIA;BIZKAIA;;Zierbena;Bilbao;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;01/03/2023
2023/19  ;Primario;España;ANDALUCÍA;CÁDIZ;LA JANDA;;Alcalá de los Gazules;Cádiz;Lengua azul;1;04;Caprinos;53;0;23/02/2023
2023/14  ;Primario;España;PAÍS VASCO;BIZKAIA;BIZKAIA;;Getxo;Bilbao;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;23/02/2023
2023/13  ;Primario;España;ARAGÓN;ZARAGOZA;ZARAGOZA;;Zaragoza;Zaragoza;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;23/02/2023
2023/15  ;Primario;España;CASTILLA Y LEÓN;SALAMANCA;BÉJAR;;Cerro, El;Salamanca;Lengua azul;1;04;Caprinos;30;0;26/01/2023
2023/14  ;Primario;España;CASTILLA Y LEÓN;SALAMANCA;CIUDAD RODRIGO;;Ciudad Rodrigo;Ciudad Rodrigo;Lengua azul;1;04;Caprinos;33;0;25/01/2023
2023/13  ;Primario;España;ANDALUCÍA;CÁDIZ;CAMPO DE GIBRALTAR;;Jimena de la Frontera;Cádiz;Lengua azul;1;04;Silvestres (salvo jabalíes y aves);21;0;14/02/2023
2023/12  ;Primario;España;ARAGÓN;ZARAGOZA;EJEA DE LOS CABALLEROS;;Ejea de los Caballeros;Zaragoza;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;2;2;17/02/2023
2023/11  ;Primario;España;GALICIA;PONTEVEDRA;VIGO-O BAIXO MIÑO;;Fornelos de Montes;Pontevedra;Lengua azul;1;04;Bovinos;125;0;15/02/2023
2023/10  ;Primario;España;GALICIA;OURENSE;A LIMIA;;Sarreaus;Ourense;Lengua azul;1;04;Bovinos;88;0;15/02/2023
2023/12  ;Primario;España;GALICIA;PONTEVEDRA;O CONDADO;;Neves, As;Pontevedra;Lengua azul;1;04;Bovinos;37;0;17/02/2023
2023/9   ;Primario;España;GALICIA;OURENSE;TERRA DE CALDELAS;;Castro Caldelas;Ourense;Lengua azul;1;04;Bovinos;197;0;15/02/2023
2023/8   ;Primario;España;ANDALUCÍA;MÁLAGA;CARTAMA (GUADAHORCE OCC.);;Cártama;Málaga;Lengua azul;1;04;Caprinos;365;0;15/02/2023
2023/7   ;Primario;España;ANDALUCÍA;SEVILLA;CARMONA (LOS ARCORES);;Carmona;Sevilla;Lengua azul;1;04;Bovinos;12;0;07/02/2023
2023/11  ;Primario;España;ARAGÓN;ZARAGOZA;ZARAGOZA;;Zaragoza;Zaragoza;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;3;3;06/02/2023
2023/10  ;Primario;España;ARAGÓN;ZARAGOZA;ZARAGOZA;;Zaragoza;Zaragoza;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;3;3;03/02/2023
2023/2   ;Primario;España;ASTURIAS;ASTURIAS;LAVIANA;;Caso;Oviedo;Mycobacterium tuberculosis (Inf. por el complejo);1;;Bovinos;27;1;13/02/2023
2023/9   ;Primario;España;GALICIA;LUGO;A MARIÑA OCCIDENTAL;;Xove;Lugo;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;09/02/2023
2023/1   ;Primario;España;CATALUÑA;LLEIDA;GARRIGUES (BORGES BLANQUES);;Arbeca;Lleida;Influenza Aviar de Alta Patogenicidad en Aves de Corral;1;H5N1;Aves de corral;9000;6000;10/02/2023
2023/3   ;Primario;España;CASTILLA LA MANCHA;CIUDAD REAL;TOMELLOSO;;Alcázar de San Juan;Ciudad Real;Viruela ovina y viruela caprina;1;;Ovinos;8100;480;07/02/2023
2023/1   ;Primario;España;GALICIA;PONTEVEDRA;TABEIROS-TERRA DE MONTES;;Estrada, A;Pontevedra;Encefalopatía espongiforme bovina;1;;Bovinos;3;1;03/02/2023
2023/8   ;Primario;España;ANDALUCÍA;HUELVA;ALMONTE (ENTORNO DE DOÑANA);;Almonte;Huelva;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;26/01/2023
2023/7   ;Primario;España;CATALUÑA;BARCELONA;VALLES ORIENTAL (GRANOLLERS);;Cardedeu;Barcelona;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;1;1;26/01/2023
2023/6   ;Primario;España;PAÍS VASCO;GIPUZKOA;GIPUZKOA;;Orio;San Sebastián;Influenza Aviar de Alta Patogenicidad en Aves Silvestres;1;H5N1;Aves silvestres;3;3;26/01/2023
2023/2   ;Primario;España;CASTILLA LA MANCHA;CUENCA;MOTILLA DEL PALANCAR;;Tébar;Cuenca;Viruela ovina y viruela caprina;1;;Ovinos;3544;1;23/01/2023
2023/1   ;Primario;España;CASTILLA LA MANCHA;CUENCA;SAN CLEMENTE;;Alberca de Záncara, La;Cuenca;Viruela ovina y viruela caprina;2;;Caprinos, Ovinos;1359 / 311;0 / 50;23/01/2023
